Number,Name,Brand,Release_Year,Concentration,Rating_Value,Rating_Count,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Perfumers,URL
150,: Contemporary,Clive Christian,2022,NA,8.1,58,"Fruity, Fresh, Spicy, Green, Citrus",NA,NA,NA,Angela Stavrevska,https://www.parfumo.com/Perfumes/Clive_Christian/150-contemporary
150,: Timeless,Clive Christian,2022,NA,8.1,41,"Citrus, Fresh, Spicy, Green, Woody",NA,NA,NA,Julie Pluchet,https://www.parfumo.com/Perfumes/Clive_Christian/150-timeless
1872,Acacia,Clive Christian,2017,NA,7.9,15,"Floral, Fresh, Green, Woody, Spicy",Black cherry,"Acacia, Freesia, Ginger, May rose","Amber, Cedarwood, Patchouli",NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Acacia
1872,Basil,Clive Christian,2018,NA,7.8,48,"Green, Spicy, Fresh, Woody, Citrus","Spearmint, Basil, Black pepper, Nutmeg",Clary sage,"Woods, Iris",NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Basil
1872,Bergamot,Clive Christian,2017,NA,8.1,14,"Fresh, Spicy, Citrus, Woody, Fruity","Bergamot, Mandarin orange, Rosemary, Lavender","Clary sage, Neroli",Patchouli,NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Bergamot
1872,for Men,Clive Christian,2001,NA,8.2,407,"Green, Fresh, Spicy, Citrus, Floral","Galbanum, Petitgrain, Bergamot, Lime, Grapefruit, Lavender, Mandarin orange, Peach, Pineapple, Rosemary, Nutmeg, Pepper","Clary sage, Cyclamen, Tagetes, Freesia, Jasmine","Cedar, Musk, Amber, Labdanum, Patchouli, Frankincense",Geza Schön,https://www.parfumo.com/Perfumes/Clive_Christian/1872-for-men
1872,for Men Limited Edition,Clive Christian,2008,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872-for-men-limited-edition
1872,for Women,Clive Christian,2001,NA,8.1,148,"Floral, Fresh, Green, Citrus, Woody","Lemon, Bergamot, Blueberry, Pineapple, Rosemary, Tangerine","Jasmine, Orchid, Osmanthus, Freesia, Lily of the valley, Rose, Violet","Oakmoss, Cedar, Musk, Gaiac wood, Patchouli, Sandalwood",Patricia Choux,https://www.parfumo.com/Perfumes/Clive_Christian/1872-for-women
1872,for Women Limited Edition,Clive Christian,2008,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872-for-women-limited-edition
1872,Geranium,Clive Christian,2018,NA,7.8,7,"Spicy, Powdery, Citrus, Green",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Geranium
1872,Jasmine,Clive Christian,2018,NA,7.8,2,NA,"Basil, Bergamot, Lemon","Hyacinth, Jasmine","Patchouli, Sandalwood",NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Jasmine
1872,Leather,Clive Christian,2017,NA,NA,NA,NA,"Bergamot, Galbanum, Lavender, Lime, Petitgrain, Rosemary","Clary sage, Jasmine","Cedar, Frankincense, Leather, Patchouli",NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Leather
1872,Mandarin,Clive Christian,2016,NA,8.8,75,"Fresh, Citrus, Green, Woody, Fruity","Sicilian mandarin orange, Basil, Basil, Bergamot, Coriander, Ginger, Lime, Nectarine, Lemon, Tangerine","Freesia, Jasmine, Lily of the valley, May rose, Orchid, Lavender, Violet","Amber, Cedarwood, Musk, Oakmoss, Patchouli, Saffron, Vetiver",NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Mandarin
1872,Men - Pure Perfume,Clive Christian,NA,NA,8.9,4,"Floral, Fruity, Spicy, Green, Sweet","Galbanum, Petitgrain, Bergamot, Lime, Grapefruit, Lavender, Mandarin orange, Peach, Pineapple, Rosemary, Nutmeg, Pepper","Clary sage, Cyclamen, Tagetes, Freesia, Jasmine","Cedar, Musk, Amber, Labdanum, Patchouli, Frankincense",Geza Schön,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Men__Pure_Perfume
1872,Orris,Clive Christian,2017,NA,8.8,2,NA,"Bergamot, Grapefruit, Mandarin orange, Petitgrain","Cherry blossom, Iris, Jasmine, Magnolia, Plum, Rose","Amber, Frankincense, Musk, Sandalwood, Tonka bean, Vetiver",NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Orris
1872,Tarocco Orange,Clive Christian,2018,NA,7.6,28,"Citrus, Floral, Fresh, Green, Fruity","Tarocco orange, Lemon, Ginger","Lily of the valley, Orange blossom",Sandalwood,NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Tarocco_Orange
1872,Vetiver,Clive Christian,2016,NA,9,24,"Green, Spicy, Fresh, Woody, Citrus","Bergamot, Black pepper, Cardamom, Coriander, Galbanum, Grapefruit, Lime, Myrtle, Nutmeg, Petitgrain, Rosemary","Clary sage, Freesia, Jasmine, Lavender, Neroli, Tagetes","Amber, Amber, Cedarwood, Frankincense, Madagascan vetiver, Moss, Musk, Patchouli",NA,https://www.parfumo.com/Perfumes/Clive_Christian/1872_Vetiver
1932,Chanel 2012 Eau de Toilette,Chanel,2012,Eau de Toilette,7.8,234,"Floral, Powdery, Fresh, Woody, Green","Aldehydes, Bergamot, Neroli","Jasmine, Ylang-ylang, Carnation, Lilac, Rose","Ambrette, Iris, Musk, Opoponax, Sandalwood, Vetiver, Iralia®, Vanilla, Coumarin, Frankincense",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__1932_Eau_de_Toilette
1932,Chanel 2014 Parfum,Chanel,2014,Parfum,8.8,20,"Floral, Woody, Fresh, Citrus, Creamy","Aldehydes, Bergamot, Neroli","Jasmine, Ylang-ylang, Carnation, Lilac, Rose","Ambrette, Iris, Musk, Opoponax, Sandalwood, Vetiver, Iralia®, Vanilla, Coumarin, Frankincense",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/1932_Parfum
1932,Chanel 2016 Eau de Parfum,Chanel,2016,Eau de Parfum,8,124,"Floral, Powdery, Woody, Green, Creamy","Aldehydes, Bergamot, Neroli","Jasmine, Ylang-ylang, Carnation, Lilac, Rose","Ambrette, Iris, Musk, Opoponax, Sandalwood, Vetiver, Iralia®, Vanilla, Coumarin, Frankincense",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__1932_Eau_de_Parfum
1957,Chanel,Chanel,2018,NA,8.3,499,"Powdery, Fresh, Floral, Creamy, Citrus",NA,NA,NA,Olivier Polge,https://www.parfumo.com/Perfumes/Chanel/1957
1984,Ensar Oud / Oriscent,Ensar Oud / Oriscent,2022,NA,8.8,39,"Woody, Green, Spicy, Floral, Animal",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/1984
1985,Ensar Oud / Oriscent,Ensar Oud / Oriscent,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.parfumo.com/Perfumes/ensar-oud/1985
20,: Iconic Feminine 20: The Feminine Perfume of an Iconic Pair,Clive Christian,2019,NA,7.4,29,"Floral, Synthetic, Sweet, Fresh, Fruity",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Clive_Christian/20-iconic-feminine-20-the-feminine-perfume-of-an-iconic-pair
20,: Iconic Masculine 20: The Masculine Perfume of an Iconic Pair,Clive Christian,2019,NA,8.3,104,"Citrus, Fresh, Woody, Spicy, Green",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Clive_Christian/20-iconic-masculine-20-the-masculine-perfume-of-an-iconic-pair
28,La Pausa Chanel 2007 Eau de Toilette,Chanel,2007,Eau de Toilette,7.5,195,"Green, Powdery, Woody, Floral, Fresh",NA,NA,NA,Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__28_La_Pausa
31,Rue Cambon Chanel 2007 Eau de Toilette,Chanel,2007,Eau de Toilette,8.2,286,"Chypre, Floral, Spicy, Powdery, Green","Green notes, Bergamot, Black pepper","Iris, Ylang-ylang, Rose","Cistus, Patchouli",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/31_rue_Cambon
31,Rue Cambon Chanel 2016 Eau de Parfum,Chanel,2016,Eau de Parfum,8.4,159,"Floral, Green, Chypre, Powdery, Spicy","Green notes, Bergamot, Black pepper","Iris, Ylang-ylang, Rose","Cistus, Patchouli",Jacques Polge,https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__31_Rue_Cambon_Eau_de_Parfum
51,Essence de Parfum,Roja Parfums,2021,NA,8.3,25,"Floral, Sweet, Creamy, Powdery, Fruity",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Roja_Parfums/51-essence-de-parfum
51,pour Homme Roja Parfums 2015 Eau de Parfum,Roja Parfums,2015,Eau de Parfum,8.3,74,"Leathery, Oriental, Animal, Spicy, Woody","Lemon, Bergamot, Lavender","Geranium, Rose, Ylang-ylang, Jasmine, Violet","Leather, Oud, Benzoin, Ambrette, Caraway, Labdanum, Musk, Opoponax, Patchouli, Pink pepper, Sandalwood, Vanilla, Saffron, Birch, Cashmere wood, Cedarwood, Cinnamon, Galbanum, Nutmeg, Oakmoss",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/51_pour_Homme_Eau_de_Parfum
51,pour Homme Roja Parfums 2017 Parfum,Roja Parfums,2017,Parfum,8.5,120,"Spicy, Leathery, Woody, Oriental, Floral","Lemon, Bergamot, Lavender","Geranium, Rose, Ylang-ylang, Jasmine, Violet","Leather, Oud, Benzoin, Ambrette, Caraway, Labdanum, Musk, Opoponax, Patchouli, Pink pepper, Sandalwood, Vanilla, Saffron, Birch, Cashmere wood, Cedarwood, Cinnamon, Galbanum, Nutmeg, Oakmoss",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/51_pour_Homme_Parfum
51,Roja Parfums 1999 Eau de Parfum,Roja Parfums,1999,Eau de Parfum,NA,NA,"Woody, Fruity, Sweet",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Roja_Parfums/51-2023-eau-de-parfum
51,Roja Parfums 2012 Parfum,Roja Parfums,2012,Parfum,7.8,11,"Green, Earthy, Spicy, Leathery, Woody",NA,NA,NA,NA,https://www.parfumo.com/Perfumes/Roja_Parfums/51-parfum
51,Roja Parfums 2015 Eau de Parfum,Roja Parfums,2015,Eau de Parfum,8.3,165,"Floral, Creamy, Sweet, Fruity, Powdery",Bergamot,"Raspberry, Grasse jasmine, Lily, Lily of the valley, Gardenia, Ylang-ylang, May rose, Orange blossom, Tuberose","Vanilla, Benzoin, Cashmere wood, Iris, Aniseed, Cinnamon, Clove, Sandalwood, Violet leaf, Patchouli",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/51-eau-de-parfum
51,Roja Parfums 2019 Hair Mist,Roja Parfums,2019,Hair Mist,9.2,6,NA,Bergamot,"Grasse jasmine, May rose, Raspberry, Lily, Lily of the valley, Orange blossom, Tuberose, Ylang-ylang, Gardenia","Vanilla, Cashmere wood, Iris, Aniseed, Benzoin, Cinnamon, Clove, Patchouli, Sandalwood, Violet leaf",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/51-hair-mist
713,Nabeel,Nabeel,NA,NA,NA,NA,NA,NA,NA,NA,"Asghar Adam Ali Brand owner, Perfumemaker",https://www.parfumo.com/Perfumes/Nabeel/713
NA,A Goodnight Kiss,Roja Parfums,2015,NA,8.1,167,"Floral, Powdery, Spicy, Creamy, Chypre","Aldehydes, Bergamot","Carnation, May rose, Violet, Orange blossom, Ylang-ylang, Grasse jasmine","Clove, Iris, Rice powder, Green notes, Leather, Musk, Spicy notes, Cedarwood",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/A_Goodnight_Kiss
NA,A Midsummer Dream,Roja Parfums,2016,NA,NA,NA,"Fresh, Floral, Spicy, Citrus, Woody","Grapefruit, Aldehydes, Bergamot, Lemon, Mandarin orange","Geranium, Orange blossom, Cyclamen, Magnolia, May rose","Cardamom, Oakmoss, Elemi resin, Fir balsam, Vetiver, Amber, Benzoin, Cedarwood, Cocoa, Iris, Musk, Pink pepper, Rhubarb, Carrot seed, Patchouli, Vanilla",Roja Dove,https://www.parfumo.com/Perfumes/Roja_Parfums/A_Midsummer_Dream
